Date,Close/Last,Volume,Open,High,Low
07/27/2020,3232.25,1266911,3210.75,3235,3192
07/24/2020,3204,1731386,3230,3239,3191.5
07/23/2020,3227.5,1679932,3267.75,3284.5,3214.25
07/22/2020,3265.5,1319390,3249.25,3271.75,3227.25
07/21/2020,3251.3,1431427,3243.75,3273.25,3239.25
07/20/2020,3245.25,1370348,3214.5,3250.5,3190.25
07/17/2020,3213.9,1229991,3198.5,3225.25,3194.75
07/16/2020,3194.5,1446031,3223.25,3228.5,3188.5
07/15/2020,3219.5,1890635,3204,3233.25,3192
07/14/2020,3183.5,2224985,3159.75,3192.25,3156.5
07/13/2020,3148.25,2031793,3183.5,3226.25,3140.5
07/10/2020,3178.4,1386186,3142.25,3181.25,3111.5
07/09/2020,3141,1859891,3166.25,3170.75,3105.25
07/08/2020,3163.5,1491126,3135.25,3166.25,3125.5
07/07/2020,3136.5,1311822,3170,3184,3132.5
07/06/2020,3172,1228130,3121.25,3174.5,3121.25
07/02/2020,3129,1513180,3101.75,3156.5,3095.5
07/01/2020,3103,1501685,3085.25,3117.75,3062.75
06/30/2020,3090.25,1649201,3053.75,3101.25,3050.5
06/29/2020,3047.75,1551281,2986.25,3051.25,2983.5
06/26/2020,3007,2148233,3071.25,3082,2992.5
06/25/2020,3070.75,1934551,3046.75,3079.5,3005
06/24/2020,3049,2347038,3113.25,3128.5,3019.75
06/23/2020,3118.5,1511742,3111.75,3145.75,3060
06/22/2020,3110.75,1360003,3040.25,3114.25,3027.25
06/19/2020,3059.5,1905392,3096.75,3144.75,3056.75
06/18/2020,3098,1617572,3104,3120,3064.5
06/17/2020,3107,1829020,3111.75,3147,3094.5
06/16/2020,3128.75,1347558,3076.25,3167.75,3071.25
06/15/2020,3073,1895278,2992.75,3079.25,2935
06/12/2020,3034.8,2797954,3011.75,3087.75,2982
06/11/2020,3010.25,3475414,3183.75,3188.5,2996.25
06/10/2020,3186,1954912,3204.75,3227.25,3179.75
06/09/2020,3205.5,1662129,3227.75,3231,3190
06/08/2020,3227.5,1560976,3192.5,3231.25,3183.25
06/05/2020,3186.75,2350760,3113.25,3210.5,3106.5
06/04/2020,3110.5,1802216,3117.75,3126.75,3087.5
06/03/2020,3117.75,1577946,3078,3129.5,3074.25
06/02/2020,3077,1416184,3052.75,3079,3035
06/01/2020,3054,1251198,3029.75,3059,3008
05/29/2020,3042,2204524,3036,3058.25,2992
05/28/2020,3038,1856990,3035,3065.5,3019.5
05/27/2020,3035.5,2059989,2994,3039.5,2965.5
05/26/2020,2994.5,1747488,2989.5,3019.75,2947.5
05/22/2020,2953,1342513,2936.75,2957.5,2903.75
05/21/2020,2937,1582193,2972.25,2973.5,2933
05/20/2020,2968.5,1496717,2913.5,2975.75,2908.5
05/19/2020,2918.75,1533354,2945,2976.25,2914.25
05/18/2020,2948,1722804,2859.75,2964.75,2850
05/15/2020,2846.5,1841770,2846.25,2863.5,2809.5
05/14/2020,2847,2454797,2820.25,2853.75,2760.25
05/13/2020,2813,2521767,2839.75,2876.75,2786
05/12/2020,2852.5,1785787,2919.25,2939.25,2838
05/11/2020,2922.75,1491188,2920.75,2947,2889.75
05/08/2020,2928.4,1275467,2882,2933,2879.75
05/07/2020,2880,1466728,2832,2895,2823
05/06/2020,2833.5,1431340,2857.75,2886.25,2832
05/05/2020,2858.25,1449790,2827,2889.75,2824.5
05/04/2020,2825.25,1469784,2789,2835.75,2771
05/01/2020,2821.75,1587491,2871.5,2879.75,2811.75
04/30/2020,2902.5,1939076,2956.5,2965,2878
04/29/2020,2941,1681741,2870.5,2959.75,2860.75
04/28/2020,2867.25,1591194,2867.75,2913.5,2851
04/27/2020,2869,1186600,2829,2881.25,2812.75
04/24/2020,2829.5,1255957,2777,2835,2755.25
04/23/2020,2780.75,1683894,2790.5,2836.75,2772.75
04/22/2020,2788.5,1338142,2737.25,2808,2717.25
04/21/2020,2732,1924605,2807,2833.25,2717.25
04/20/2020,2806.5,1522197,2861.5,2875.5,2804.25
04/17/2020,2870,1832788,2863,2885,2821
04/16/2020,2787.5,1709246,2767.75,2831.5,2746
04/15/2020,2775,1777489,2843.75,2845.5,2751.25
